soru,cevap
selam,Selam Nasılsın
iyi, Seni iyi bulmak çok güzel
Nasılsın?, İyiyim, teşekkür ederim. Sen nasılsın?
Bugün ne yaptın?, Çalıştım ve biraz kitap okudum. Sen?
En sevdiğin film nedir?, "The Shawshank Redemption" favorimdir. Seninki nedir?
Hangi tür müziği dinlersin?, Genellikle rock müzik dinlerim. Senin favori müzik türün nedir?
Hafta sonu planların neler?, Arkadaşlarımla buluşmayı düşünüyorum. Senin planların nedir?
En sevdiğin yemek nedir?, Makarna her zaman favorimdir. Seninki nedir?
Hangi kitabı okuyorsun şu sıralar?, "1984" kitabını okuyorum. Senin okuduğun bir kitap var mı?
Hayalinizdeki tatil neresi?, Maldivler'de bir adada tatil yapmak isterim. Senin hayalin neresi?
Hangi sporu seversin?, Futbol favori sporum. Senin favori sporun nedir?
En sevdiğin renk nedir?, Mavi favori rengimdir. Senin favori rengin nedir?
İlkokulda en sevdiğin ders hangisiydi?, Matematik en sevdiğim dersdi. Seninkisi neydi?
En son izlediğin film?, "Inception" filmiydi. Senin en son izlediğin film nedir?
Hangi mevsimi seversin?, İlkbahar favori mevsimim. Senin favori mevsimin nedir?
Evde en çok vakit geçirdiğin yer?, Salon genellikle favori mekanımdır. Senininki nedir?
Hangi arabayı kullanıyorsun?, Ford Focus kullanıyorum. Senin araban nedir?
En sevdiğin hobi nedir?, Resim yapmak en sevdiğim hobidir. Senin hobi nedir?
Hangi ülkede yaşamak isterdin?, Kanada'da yaşamak isterdim. Senin tercihin neresi?
En sevdiğin sporcu kim?, LeBron James favori sporcum. Senin favori sporcun kim?
Hangi şehirde doğdun?, İstanbul'da doğdum. Sen nerelisin?
Günlük spor rutinin nedir?, Her sabah koşu yaparım. Senin spor alışkanlığın nedir?
En sevdiğin tatlı nedir?, Çikolatalı pasta favori tatlımdır. Seninki nedir?
Kaç kardeşin var?, Üç kardeşim var. Senin kardeş sayın nedir?
En son gittiğin tatil yer?, Antalya'ya son gittim. Senin son tatil yerin neresi?
Hangi öğünü atlamazsın?, Kahvaltıyı atlamam. Sen hangi öğünü atlamazsın?
Hangi hayvana benzemek isterdin?, Kartal gibi özgür olmak isterdim. Sen hangi hayvana benzemek isterdin?
En sevdiğin marka nedir?, Apple favori markamdır. Senin favori markan nedir?
Hangi tarihi kişiyi tanımak isterdin?, Leonardo da Vinci'yi tanımak isterdim. Sen kimi tanımak isterdin?
En son katıldığın etkinlik nedir?, Arkadaşımın düğününe katıldım. Senin son etkinliğin nedir?
Hangi sanat dalını seversin?, Resim sanatını seviyorum. Senin favori sanat dalın nedir?
En sevdiğin kahve çeşidi nedir?, Americano favori kahvemdir. Senin tercihin nedir?
Hangi diziyi izliyorsun?, "Stranger Things" dizisini izliyorum. Senin izlediğin dizi nedir?
Hangi meyveyi en çok seversin?, Çilek favori meyvemdir. Seninki nedir?
Kaç dil biliyorsun?, İki dil biliyorum. Sen kaç dil biliyorsun?
En sevdiğin marka spor ayakkabı nedir?, Nike favori spor ayakkabı markamdır. Seninki nedir?
Hangi teknolojik cihazı en çok kullanıyorsun?, Akıllı telefonu en çok kullanıyorum. Senin favori teknolojik cihazın nedir?
Hangi tür filmi izlemeyi seversin?, Bilim kurgu filmlerini seviyorum. Senin tercihin nedir?
Hangi tarihi yapıyı ziyaret etmek isterdin?, Eiffel Kulesi'ni ziyaret etmek isterdim. Senin tercihin nedir?
En sevdiğin içecek nedir?, Su favori içeceğim. Seninki nedir?
Hangi konuda daha fazla bilgi sahibi olmak isterdin?, Astronomi konusunda daha fazla bilgi sahibi olmak isterdim. Senin ilgi alanın nedir?
En sevdiğin giyim tarzı nedir?, Rahat ve spor giyinmeyi severim. Senin tercihin nedir?
Hangi sosyal medya platformunu kullanıyorsun?, Instagram kullanıyorum. Senin tercihin nedir?
Hangi tür restoranda yemek yemeyi seversin?, İtalyan restoranlarını seviyorum. Senin tercihin nedir?
En sevdiğin çizgi film karakteri kim?, Bugs Bunny favori çizgi film karakterim. Senin favorin kim?
Hangi özelliklerden hoşlanırsın?, Güvenilirlik ve samimiyet önemlidir. Sen hangi özellikleri seversin?
